排名,队伍,分数
1,Astralis,(998 points)
2,Liquid,(532 points)
3,Natus Vincere,(486 points)
4,ENCE,(461 points)
5,MIBR,(376 points)
6,FaZe,(332 points)
7,Renegades,(273 points)
8,NiP,(229 points)
9,Cloud9,(191 points)
10,Vitality,(191 points)
11,NRG,(177 points)
12,North,(175 points)
13,AVANGAR,(169 points)
14,fnatic,(159 points)
15,Ghost,(141 points)
16,BIG,(125 points)
17,G2,(116 points)
18,Valiance,(113 points)
19,FURIA,(98 points)
20,mousesports,(95 points)
21,forZe,(91 points)
22,HellRaisers,(87 points)
23,Winstrike,(83 points)
24,ViCi,(80 points)
25,TYLOO,(75 points)
26,compLexity,(66 points)
27,Sprout,(63 points)
28,Heroic,(62 points)
29,INTZ,(60 points)
30,Windigo,(59 points)
