比赛编号,比赛日期,比赛名称,队伍1,队伍2,大比分,胜利队伍,地图,比分,地图,比分,地图,比分
2331754,14th of March 2019,ecs-season-7-europe-week-1,Astralis,NiP,2::0,Astralis,train,16::9,inferno,16::1,mirage,
2331543,14th of March 2019,kalashnikov-cup-season-2,SJ,Tricked,16::13,SJ,train,16::13,,,,
2331749,14th of March 2019,esea-mdl-season-30-europe,LDLC,Vitality,16::3,Vitality,dust2,16::3,,,,
2331747,14th of March 2019,esea-mdl-season-30-europe,expert,Vitality,16::14,Vitality,cache,16::14,,,,
2331310,14th of March 2019,esea-mdl-season-30-europe,ENCE,Izako Boars,16::9,Izako Boars,cache,16::9,,,,
2331748,14th of March 2019,esea-mdl-season-30-europe,ex-Fragsters,Sprout,16::1,Sprout,train,16::1,,,,
2331746,14th of March 2019,esea-mdl-season-30-europe,Uruguay,Sprout,16::11,Sprout,dust2,16::11,,,,
2331745,14th of March 2019,esea-mdl-season-30-europe,Izako Boars,Chaos,16::6,Chaos,inferno,16::6,,,,
2331759,14th of March 2019,ecs-season-7-europe-pinnacle-cup,Vitality,Epsilon,2::1,Vitality,nuke,16::6,train,16::8,cache,16::5
2331123,14th of March 2019,esea-mdl-season-30-europe,forZe,Chaos,16::7,forZe,inferno,16::7,,,,
2331668,14th of March 2019,wesg-2018-world-finals,Absolute,G2,2::0,G2,dust2,16::1,mirage,16::12,cache,
2331675,14th of March 2019,wesg-2018-world-finals-female,Those Damn Canadians-female,Carnage fe-female,2::1,Those Damn Canadians-female,inferno,16::9,dust2,16::12,cache,16::6
2331667,14th of March 2019,wesg-2018-world-finals,Windigo,MIBR,2::1,Windigo,dust2,16::8,train,16::8,overpass,16::13
2331674,14th of March 2019,wesg-2018-world-finals-female,Lazarus-female,Carnage fe-female,2::0,Lazarus-female,nuke,28::24,cache,16::5,mirage,
2331497,14th of March 2019,lpl-pro-league-season-1,AVANT,Breakaway,19::17,Breakaway,overpass,19::17,,,,
2331758,14th of March 2019,esea-mdl-season-30-australia,Athletico,Grayhound,1::0,Grayhound,default,,,,,
2331666,14th of March 2019,wesg-2018-world-finals,Valiance,AGO,2::1,AGO,train,16::13,inferno,16::12,dust2,16::6
2331496,14th of March 2019,lpl-pro-league-season-1,Ground Zero,AVANT,16::12,AVANT,inferno,16::12,,,,
2331699,14th of March 2019,esea-mdl-season-30-australia,Athletico,Paradox,1::0,Paradox,default,,,,,
2331698,14th of March 2019,esea-mdl-season-30-australia,ORDER,Skyfire,16::6,ORDER,nuke,16::6,,,,
2331697,14th of March 2019,ttps://www.hltv.org//matches/2331697/grayhound-vs-rot-esea-mdl-season-30-australia,Grayhound,R!OT,1::0,Grayhound,default,,,,,
2331499,14th of March 2019,lpl-pro-league-season-1,Paradox,Athletico,16::8,Athletico,dust2,16::8,,,,
2331673,14th of March 2019,wesg-2018-world-finals-female,CLG Red-female,Those Damn Canadians-female,2::1,CLG Red-female,dust2,16::5,train,16::2,cache,16::7
2331494,14th of March 2019,lpl-pro-league-season-1,Genuine,Athletico,16::12,Athletico,mirage,16::12,,,,
2331665,14th of March 2019,wesg-2018-world-finals,OpTic,fnatic,2::0,fnatic,mirage,16::14,overpass,16::11,inferno,
2331723,14th of March 2019,esea-mdl-season-30-north-america,iNTACT,TeamOne,16::9,TeamOne,inferno,16::9,,,,
2331648,14th of March 2019,esea-mdl-season-30-north-america,FURIA,Final Feature,16::13,FURIA,mirage,16::13,,,,
2331722,14th of March 2019,esea-mdl-season-30-north-america,Mythic,TeamOne,16::9,Mythic,cache,16::9,,,,
2331755,14th of March 2019,dell-gaming-liga-pro-season-1-3-mar-19,DETONA,W7M,2::0,DETONA,inferno,16::3,nuke,16::11,train,
2331721,14th of March 2019,esea-mdl-season-30-north-america,FURIA,Mythic,16::7,FURIA,overpass,16::7,,,,
2331729,13th of March 2019,ecs-season-7-north-america-week-1,compLexity,NRG,2::0,compLexity,nuke,16::11,mirage,16::5,inferno,
